variable,test,estadistico_H,p_valor,epsilon_cuadrado,med_S0,med_S1,med_S2,med_S3,med_S4,med_S5,med_S6,med_S7,med_S8,p_valor_ajustado_BH,discrimina_BH
tasa_partos,Kruskal-Wallis,28.536543209876527,0.00038227936590641234,0.456367626886145,0.05503538860908345,0.050984095427435386,0.03154763295860919,0.02514286347522903,0.024991114425294968,0.023118232238753412,0.03328437704598942,0.023873169964239063,0.020122244351349496,0.0007342496987231153,si
pct_programada,Kruskal-Wallis,28.4667115600449,0.00039317753943310136,0.4548158124454422,0.1399125823700384,0.46378727634194833,0.14311304553184057,0.09321740975235716,0.21482552506446853,0.29961056552658316,0.13596839554442341,0.15814290407583406,0.17578634709154592,0.0007342496987231153,si
pct_geriatrico,Kruskal-Wallis,28.465634118967444,0.0003933480528873832,0.4547918693103876,0.2214732373357811,0.15077534791252484,0.22988482381024483,0.2808306829979904,0.27049463426668313,0.24545369939506748,0.23945814001155272,0.2743837435804456,0.2574599958794039,0.0007342496987231153,si
pct_origen_emergencia,Kruskal-Wallis,26.338630751964104,0.0009189175025793385,0.4075251278214245,0.819479890873889,0.41093439363817097,0.4429574750297539,0.8405655909504203,0.5769556438481078,0.46495089739248224,0.6498141358267466,0.6329635226462487,0.5726169219147037,0.0016081056295138424,si
pct_alta_fallecido,Kruskal-Wallis,25.746127946127928,0.0011606541099263364,0.39435839880284285,0.03918262297264316,0.011033797216699802,0.024263760474589578,0.0415285729341853,0.03253081598696051,0.029976034801635885,0.036166246586851504,0.03888142584286348,0.034132271135224226,0.0019116655928198482,si
pct_origen_referencia,Kruskal-Wallis,23.761997755331095,0.002512039489867576,0.35026661678513543,0.016678894595255563,0.06623260437375746,0.20786350705766,0.02459567303914786,0.10215713336400348,0.10454817786345047,0.093274634932315,0.0802026065913192,0.14313920747201428,0.003907616984238451,si
severidad_media,Kruskal-Wallis,21.648597081930433,0.00561016918512622,0.30330215737623184,1.6421352929097364,1.5798864799848904,1.679479757246311,1.6843481316890934,1.6408096948738207,1.677012563983248,1.645331395457171,1.8126535690855152,1.9406977542751185,0.008267617746501798,si
pct_uso_pabellon,Kruskal-Wallis,21.380673400673402,0.006202083144162284,0.29734829779274224,0.46273879869198553,0.4204473161033797,0.3621910518895201,0.2663835096804797,0.45232105149451884,0.4605073295510445,0.43312356700326843,0.42932687992360663,0.45691401689444405,0.008682916401827197,si
estancia_mediana,Kruskal-Wallis,19.84665492077769,0.010932038486934133,0.26325899823950427,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.014576051315912178,si
comorbilidades_promedio,Kruskal-Wallis,19.04213243546576,0.014635939730152848,0.245380720788128,5.2412068409164245,4.067316103379722,4.614506010240774,4.7433351541899995,4.414388358851775,4.131417854072781,4.223876286494434,5.612506254795112,5.485680928507658,0.01862755965655817,si
pct_alta_traslado,Kruskal-Wallis,18.498765432098736,0.017782726488386004,0.23330589849108302,0.039613332568412596,0.014840954274353876,0.07803373472754771,0.06606422081047136,0.03638811090123537,0.025163458282320455,0.03569755839289714,0.040938354773115006,0.047618638829750704,0.021648536594556875,si
pct_pediatrico,Kruskal-Wallis,16.782401795735126,0.032456376580263055,0.19516448434966946,0.07776375423096782,0.23246520874751492,0.14540602187692037,0.09915201735307591,0.13157324316122598,0.14989875869354696,0.15863204096561814,0.1442581930726698,0.2108371677769384,0.037865772676973566,si
pabellones_promedio,Kruskal-Wallis,15.218092031425357,0.05504097236035374,0.16040204514278572,0.46331248924330215,0.4268886679920477,0.4025933774033981,0.2992656441592546,0.5044776119402985,0.5198754851650212,0.5702160591720481,0.624377269838208,0.547034887713756,0.061645889043596185,no
cv_estancia,Kruskal-Wallis,14.081593714927038,0.07966333988809449,0.13514652699837862,1.8749153769070217,2.720419805514194,1.424652579804469,1.7382727819551533,1.882204056239584,1.9683081868189825,1.8017545982521361,2.0487656549951376,1.7910294977911845,0.0857912891102556,no
tasa_cma,Kruskal-Wallis,10.839102132435471,0.2109836235070532,0.06309115849856603,0.13138049442966138,0.10971087727992779,0.21736643745813683,0.1043005578591576,0.14300237207726194,0.14103195202720845,0.18968742621551427,0.1589226274289554,0.11671886018456032,0.21879783178509218,no
peso_medio_cma,Kruskal-Wallis,8.498449637027433,0.38635304948785354,0.01107665860060961,0.5451165272048714,0.458251238202791,0.5579977637320688,0.6158976468718822,0.5233632109431245,0.5470473897119117,0.509889181759379,0.547979047398916,0.5579243422334828,0.38635304948785354,no
