K_sub,COD_HOSPITAL,subgrupo_referencia,n_vecinos_subgrupo,estabilidad_individual
3,110130,S0,13,0.6943605302873775
3,110150,S0,13,0.6985749571640051
3,111100,S0,13,0.613626798672949
3,111101,S2,10,0.8648967346102255
3,112101,S0,13,0.7316157865529627
3,113100,S2,10,0.8836929842500496
3,113150,S0,13,0.6903566004274334
3,113180,S0,13,0.6607088597603402
3,114101,S2,10,0.8647780751864218
3,114103,S1,28,0.4821853359412137
3,114105,S2,10,0.8738735686228523
3,115100,S2,10,0.9016010605508628
3,115107,S1,28,0.7998164872518767
3,115110,S0,13,0.7135895030423788
3,116100,S1,28,0.7392517376264117
3,116105,S1,28,0.7546084267306217
3,116108,S1,28,0.8123199413664579
3,116110,S0,13,0.2488401084212765
3,117101,S2,10,0.8774129183376249
3,117102,S1,28,0.8105872056848326
3,118100,S2,10,0.8574746533685189
3,118105,S0,13,0.44598581069131
3,119100,S1,28,0.8218875990727008
3,120101,S1,28,0.8197936571139117
3,121109,S1,28,0.8018410299280492
3,121121,S0,13,0.7320132021287521
3,122100,S1,28,0.7971035719804361
3,123100,S1,28,0.8305158539519316
3,124105,S2,10,0.8919529502805379
3,125100,S1,28,0.7962162815381141
3,126100,S2,10,0.8633208862473285
3,128109,S0,13,0.7112663361331472
3,129100,S1,28,0.8245977845766098
3,129106,S1,28,0.8114709331735037
3,133150,S1,28,0.8327846631676941
9,101100,S4,14,0.6607991829210959
9,102100,S6,8,0.6330384622667743
9,103100,S5,4,0.7325839395771572
9,103101,S6,8,0.6513586459667371
9,104100,S4,14,0.634229132234387
9,104103,S4,14,0.6864784106116785
9,105100,S6,8,0.658737588211496
9,105101,S4,14,0.6690289404794997
9,105102,S6,8,0.7253352282453701
9,106100,S7,9,0.7956853758126328
9,106103,S3,3,0.6410256410256411
9,107100,S8,0,
9,107101,S6,8,0.6385529318450123
9,107102,S2,3,0.7849726775956284
9,108100,S6,8,0.7006181850299671
9,108101,S4,14,0.611552109495963
9,109100,S0,4,0.7624926041907181
9,110100,S5,4,0.702584915084915
9,110120,S6,8,0.5139099326968879
9,110130,S0,4,0.741852070081781
9,110150,S0,4,0.7240205612670185
9,111100,S1,0,
9,111101,S7,9,0.7070754962800192
9,112101,S0,4,0.7751109548509644
9,113100,S7,9,0.7384494862231202
9,113150,S3,3,0.20935143288084465
9,113180,S0,4,0.2507367447209103
9,114101,S7,9,0.6300317093662196
9,114103,S6,8,0.5285438155128236
9,114105,S7,9,0.6933942720023487
9,115100,S7,9,0.8122627291141074
9,115107,S4,14,0.4441391660489897
9,115110,S2,3,0.8014121144555927
9,116100,S6,8,0.7216504722109478
9,116105,S5,4,0.9025800945378152
9,116108,S4,14,0.3230231244197652
9,116110,S3,3,0.4555052790346908
9,117101,S7,9,0.7471625978654092
9,117102,S4,14,0.6159629401702331
9,118100,S7,9,0.5341193818116451
9,118105,S3,3,0.6512820512820513
9,119100,S4,14,0.6396654196003614
9,120101,S4,14,0.3823160692443503
9,121109,S5,4,0.8600548639724146
9,121121,S2,3,0.7809246309246309
9,122100,S5,4,0.8481180516299227
9,123100,S4,14,0.6187309729466006
9,124105,S7,9,0.7777853364678105
9,125100,S4,14,0.545578993566778
9,126100,S7,9,0.47896816339212717
9,128109,S2,3,0.78525814092457
9,129100,S4,14,0.641267160436539
9,129106,S4,14,0.6657872977127007
9,133150,S4,14,0.6293284038517586
