metodo_1,metodo_2,ARI
"leiden_k_nn=10, res=1.5",gmm_K=3,0.2203207395480589
aggl_K=6,gmm_K=8,0.22
"leiden_k_nn=10, res=0.5","leiden_k_nn=20, res=1.5",0.21899916188893917
"leiden_k_nn=15, res=2.0",gmm_K=7,0.21819551523505745
kmeans_K=5,gmm_K=8,0.21714855433698904
"leiden_k_nn=10, res=1.5","leiden_k_nn=20, res=2.0",0.2159578005639346
kmeans_K=4,kmeans_K=8,0.21513560134505413
"leiden_k_nn=10, res=2.0","leiden_k_nn=20, res=2.0",0.21452308368350223
"leiden_k_nn=15, res=2.0","leiden_k_nn=20, res=1.0",0.21431250176131522
"leiden_k_nn=10, res=1.5",gmm_K=4,0.21354022990954222
"leiden_k_nn=15, res=2.0",gmm_K=5,0.21335140669057384
kmeans_K=6,gmm_K=5,0.21319050066101836
aggl_K=8,"leiden_k_nn=20, res=1.0",0.21248872385938883
kmeans_K=6,gmm_K=8,0.21117524821057493
kmeans_K=6,"leiden_k_nn=10, res=2.0",0.2093875228967785
kmeans_K=5,"leiden_k_nn=15, res=1.5",0.2080462181483693
kmeans_K=3,kmeans_K=8,0.20662057065472011
kmeans_K=4,aggl_K=8,0.2025186998843545
"leiden_k_nn=20, res=1.5",gmm_K=8,0.19949526813880125
kmeans_K=6,aggl_K=3,0.19901785426906932
kmeans_K=3,"leiden_k_nn=15, res=1.0",0.19746069293658314
kmeans_K=5,gmm_K=3,0.19742522841177268
aggl_K=8,"leiden_k_nn=10, res=2.0",0.19632630844596408
"leiden_k_nn=10, res=2.0","leiden_k_nn=20, res=1.0",0.19487783020395824
"leiden_k_nn=10, res=1.0",gmm_K=2,0.19443828324276366
kmeans_K=3,aggl_K=8,0.1939717752102792
"leiden_k_nn=10, res=0.5","leiden_k_nn=15, res=2.0",0.19086636720735023
kmeans_K=5,gmm_K=7,0.18921871430983286
aggl_K=5,gmm_K=8,0.1882534775888717
aggl_K=4,gmm_K=8,0.18697329834851056
aggl_K=8,"leiden_k_nn=20, res=1.5",0.1862671445412137
kmeans_K=4,aggl_K=2,0.1860805946700121
kmeans_K=2,kmeans_K=4,0.1860805946700121
"leiden_k_nn=15, res=1.0",gmm_K=8,0.18543016759776537
aggl_K=8,"leiden_k_nn=15, res=1.5",0.18453231697633793
gmm_K=2,gmm_K=6,0.18319194061505834
"leiden_k_nn=10, res=2.0",gmm_K=3,0.1830516543680076
kmeans_K=5,"leiden_k_nn=15, res=2.0",0.18198046511342095
kmeans_K=4,"leiden_k_nn=15, res=1.0",0.18065965590965524
"leiden_k_nn=15, res=1.0",gmm_K=6,0.18055188221810808
kmeans_K=5,gmm_K=6,0.17995715305879553
kmeans_K=6,"leiden_k_nn=15, res=2.0",0.17935065540769649
kmeans_K=6,"leiden_k_nn=15, res=1.5",0.17882407070145506
"leiden_k_nn=15, res=1.0","leiden_k_nn=20, res=2.0",0.17696959663684272
gmm_K=2,gmm_K=7,0.17610478962688542
aggl_K=5,gmm_K=5,0.1730608013413284
"leiden_k_nn=15, res=1.5",gmm_K=3,0.17198913158544762
aggl_K=4,gmm_K=5,0.17151139563351156
kmeans_K=6,"leiden_k_nn=20, res=1.5",0.17059276025883954
kmeans_K=6,gmm_K=4,0.16900873678898964
kmeans_K=7,"leiden_k_nn=20, res=1.5",0.1667925505513714
"leiden_k_nn=15, res=1.0",gmm_K=7,0.1662335651808521
kmeans_K=3,aggl_K=2,0.16553550016027607
kmeans_K=2,kmeans_K=3,0.16553550016027607
kmeans_K=3,"leiden_k_nn=10, res=1.0",0.16551696810982353
aggl_K=8,"leiden_k_nn=15, res=2.0",0.16457930845524077
"leiden_k_nn=15, res=2.0",gmm_K=3,0.16457582739124788
kmeans_K=5,"leiden_k_nn=10, res=2.0",0.1626999330789311
aggl_K=4,gmm_K=3,0.1616323090597964
