k_anios,rep_id,COD_HOSPITAL,variable,error_relativo
1,0,112103,peso_medio_grd,0.2640967690748108
1,0,112103,severidad_media,0.25871391485518624
1,0,112103,mortalidad_media,0.20373166278883784
1,0,112103,tasa_cma,1.0
1,0,112104,egresos_por_anio,0.2591850032579821
1,0,112104,estancia_media,0.1557407413339728
1,0,112104,peso_medio_grd,0.10363720125089948
1,0,112104,severidad_media,0.14041575981905574
1,0,112104,mortalidad_media,0.08200025457504036
1,0,113100,egresos_por_anio,0.21516527532668397
1,0,113100,estancia_media,0.031934650502166845
1,0,113100,peso_medio_grd,0.15936503329883403
1,0,113100,severidad_media,0.12597788020467646
1,0,113100,mortalidad_media,0.07883712372758227
1,0,113100,tasa_cma,0.1231938243973459
1,0,113130,egresos_por_anio,0.19457401237505956
1,0,113130,estancia_media,0.03633900101685082
1,0,113130,peso_medio_grd,0.1124455822914183
1,0,113130,severidad_media,0.11252118360107558
1,0,113130,mortalidad_media,0.10043243054453717
1,0,113130,tasa_cma,0.0014270183936495378
1,0,113150,egresos_por_anio,0.15788739273006341
1,0,113150,estancia_media,0.08993427327726461
1,0,113150,peso_medio_grd,0.18431532700633527
1,0,113150,severidad_media,0.14645494453795838
1,0,113150,mortalidad_media,0.11425306485862162
1,0,113150,tasa_cma,0.032756986600360215
1,0,113180,egresos_por_anio,0.13082496504385413
1,0,113180,estancia_media,0.0388554356459279
1,0,113180,peso_medio_grd,0.11754187327509026
1,0,113180,severidad_media,0.09969980403597124
1,0,113180,mortalidad_media,0.059963465166589125
1,0,113180,tasa_cma,0.19195706516504274
1,0,114101,egresos_por_anio,0.21326973779639752
1,0,114101,estancia_media,0.13629477676747997
1,0,114101,peso_medio_grd,0.1779216334446949
1,0,114101,severidad_media,0.20282942629206846
1,0,114101,mortalidad_media,0.21045375323163262
1,0,114101,tasa_cma,0.14573102614538758
1,0,114103,egresos_por_anio,0.17976017034629613
1,0,114103,estancia_media,0.1090683192059506
1,0,114103,peso_medio_grd,0.2263267749123203
1,0,114103,severidad_media,0.19823975518918172
1,0,114103,mortalidad_media,0.1289763049355168
1,0,114103,tasa_cma,0.22888797951928022
1,0,114105,egresos_por_anio,0.07687618531563262
1,0,114105,estancia_media,0.06621304642492373
1,0,114105,peso_medio_grd,0.14933274549661912
1,0,114105,severidad_media,0.10730750612512638
1,0,114105,mortalidad_media,0.10197224394429996
1,0,114105,tasa_cma,0.04053271386040956
1,0,115100,egresos_por_anio,0.16265192676109425
1,0,115100,estancia_media,0.06081297722515827
1,0,115100,peso_medio_grd,0.16095510301380606
1,0,115100,severidad_media,0.1456815426156278
1,0,115100,mortalidad_media,0.13694627805990844
1,0,115100,tasa_cma,0.11496534759047514
1,0,115107,egresos_por_anio,0.34548984261249394
1,0,115107,estancia_media,0.16378161561303006
1,0,115107,peso_medio_grd,0.1567905456314641
1,0,115107,severidad_media,0.1360762765612918
1,0,115107,mortalidad_media,0.15067975412403953
1,0,115107,tasa_cma,0.4405916329591024
1,0,115110,egresos_por_anio,0.19756920999324773
1,0,115110,estancia_media,0.05810240063891057
1,0,115110,peso_medio_grd,0.10617973869794145
1,0,115110,severidad_media,0.09044343541925393
1,0,115110,mortalidad_media,0.0984634835625841
1,0,115110,tasa_cma,0.041272262219882595
1,0,116100,egresos_por_anio,0.290341406477969
1,0,116100,estancia_media,0.22813705030944564
1,0,116100,peso_medio_grd,0.1640440587198502
1,0,116100,severidad_media,0.13806240698336586
1,0,116100,mortalidad_media,0.12127812703091491
1,0,116100,tasa_cma,0.20955000851975306
1,0,116105,egresos_por_anio,0.08442942552638415
1,0,116105,estancia_media,0.07715118006512951
1,0,116105,peso_medio_grd,0.11738669335082419
1,0,116105,severidad_media,0.07924674667976901
1,0,116105,mortalidad_media,0.056136026644464376
1,0,116105,tasa_cma,0.0968820637382032
1,0,116108,egresos_por_anio,0.26763322302521264
1,0,116108,estancia_media,0.12305681107327493
1,0,116108,peso_medio_grd,0.15331059765528735
1,0,116108,severidad_media,0.08695356417160824
1,0,116108,mortalidad_media,0.04912997640711532
1,0,116108,tasa_cma,0.29941541924707865
1,0,116110,egresos_por_anio,0.16384311905314458
1,0,116110,estancia_media,0.162232945027171
1,0,116110,peso_medio_grd,0.08600397338915566
1,0,116110,severidad_media,0.11965992650052662
