COD_HOSPITAL,NOMBRE_HOSPITAL,cluster_semantico,SERVICIO_SALUD,COMPLEJIDAD_MINSAL,egresos_por_anio,estancia_media_dias,peso_medio_grd,severidad_media,mortalidad_media,tasa_cma_pct,nivel_cma,diversidad_grd,comorbilidades_promedio,top3_capitulos_cie10,top3_secciones_cie9_proc,top3_grds_top20_nacional,perfil_resumen
119100,Hospital Las Higueras (Talcahuano),Hospitales generales SNSS,TALCAHUANO,Alta Complejidad,19472,6.32,1.032,1.593,1.472,10.83,Media (10.8%),0.848,2.65,"Embarazo/parto (13.6%), Trauma (13.4%), Digestivo (13.3%)","diagnóstico (67.5%), cardiovascular-quirúrgico (9.6%), obstétrico-quirúrgico (4.3%)","GRD 134161 (2.4%), GRD 146131 (2.4%), GRD 146121 (2.4%)","Hospital de alto volumen (19,472 egresos/año) y complejidad media. CMA: media (10.8%). Casuística dominante: Embarazo/parto."
106100,Hospital Carlos Van Buren (Valparaíso),Hospitales generales SNSS,VALPARAISO SAN ANTONIO,Alta Complejidad,19319,6.84,1.038,1.677,1.441,10.74,Media (10.7%),0.823,3.07,"Contacto sanitario (15.5%), Embarazo/parto (14.2%), Trauma (11.2%)","diagnóstico (74.7%), obstétrico-quirúrgico (5.0%), no clasificado (3.0%)","GRD 44153 (2.4%), GRD 146102 (2.0%), GRD 146131 (1.8%)","Hospital de alto volumen (19,319 egresos/año) y complejidad media. CMA: media (10.7%). Casuística dominante: Contacto sanitario."
110120,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",Hospitales generales SNSS,METROPOLITANO OCCIDENTE,Alta Complejidad,19092,8.13,0.984,1.733,1.59,12.2,Media (12.2%),0.792,3.06,"Embarazo/parto (23.7%), Digestivo (13.3%), Respiratorio (11.3%)","diagnóstico (76.0%), obstétrico-quirúrgico (7.9%), digestivo-quirúrgico (4.5%)","GRD 146101 (4.7%), GRD 146131 (4.3%), GRD 61131 (3.8%)","Hospital de alto volumen (19,092 egresos/año) y complejidad media. CMA: media (12.2%). Casuística dominante: Embarazo/parto."
103100,Hospital Dr. Leonardo Guzmán (Antofagasta),Hospitales generales SNSS,ANTOFAGASTA,Alta Complejidad,18970,8.48,1.092,1.585,1.451,10.39,Media (10.4%),0.832,2.34,"Embarazo/parto (18.4%), Digestivo (11.5%), Trauma (11.3%)","diagnóstico (76.3%), obstétrico-quirúrgico (5.6%), digestivo-quirúrgico (3.7%)","GRD 146101 (3.5%), GRD 146121 (3.2%), GRD 131111 (2.5%)","Hospital de alto volumen (18,970 egresos/año) y complejidad media. CMA: media (10.4%). Casuística dominante: Embarazo/parto."
117101,Hospital Clínico Herminda Martín (Chillán),Hospitales generales SNSS,ÑUBLE,Alta Complejidad,18373,7.48,0.989,1.665,1.509,19.34,Media (19.3%),0.834,2.74,"Embarazo/parto (19.7%), Digestivo (13.2%), Trauma (11.4%)","diagnóstico (71.6%), obstétrico-quirúrgico (5.9%), digestivo-quirúrgico (4.8%)","GRD 146121 (4.3%), GRD 146101 (3.4%), GRD 134161 (2.6%)","Hospital de alto volumen (18,373 egresos/año) y complejidad media. CMA: media (19.3%). Casuística dominante: Embarazo/parto."
122100,Hospital Clínico Regional (Valdivia),Hospitales generales SNSS,VALDIVIA,Alta Complejidad,17936,7.23,1.056,1.674,1.509,14.49,Media (14.5%),0.848,2.67,"Embarazo/parto (15.5%), Neoplasias (13.8%), Digestivo (12.4%)","diagnóstico (73.9%), obstétrico-quirúrgico (5.1%), digestivo-quirúrgico (4.2%)","GRD 146101 (3.0%), GRD 61131 (2.9%), GRD 146131 (2.0%)","Hospital de alto volumen (17,936 egresos/año) y complejidad media. CMA: media (14.5%). Casuística dominante: Embarazo/parto."
102100,Hospital Dr. Ernesto Torres Galdames (Iquique),Hospitales generales SNSS,IQUIQUE,Alta Complejidad,17336,6.97,0.929,1.584,1.458,11.63,Media (11.6%),0.81,2.81,"Embarazo/parto (23.0%), Digestivo (14.0%), Trauma (9.7%)","diagnóstico (72.5%), obstétrico-quirúrgico (8.3%), digestivo-quirúrgico (4.7%)","GRD 146131 (5.2%), GRD 146101 (3.9%), GRD 146121 (3.4%)","Hospital de alto volumen (17,336 egresos/año) y complejidad estándar. CMA: media (11.6%). Casuística dominante: Embarazo/parto."
111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",Hospitales generales SNSS,METROPOLITANO CENTRAL,Alta Complejidad,16809,6.11,0.96,1.576,1.444,10.95,Media (10.9%),0.78,2.76,"Embarazo/parto (30.0%), Neoplasias (12.9%), Contacto sanitario (10.6%)","diagnóstico (66.2%), obstétrico-quirúrgico (11.3%), neuroquirúrgico (4.9%)","GRD 146131 (5.7%), GRD 146101 (5.2%), GRD 146121 (4.6%)","Hospital de alto volumen (16,809 egresos/año) y complejidad media. CMA: media (10.9%). Casuística dominante: Embarazo/parto."
111101,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Hospitales generales SNSS,METROPOLITANO CENTRAL,Alta Complejidad,16489,8.63,1.101,1.97,1.786,16.78,Media (16.8%),0.811,3.26,"Embarazo/parto (21.6%), Digestivo (12.7%), Cardiovascular (12.4%)","diagnóstico (74.5%), obstétrico-quirúrgico (6.9%), digestivo-quirúrgico (5.2%)","GRD 146121 (4.3%), GRD 146101 (3.5%), GRD 44153 (3.5%)","Hospital de alto volumen (16,489 egresos/año) y complejidad media. CMA: media (16.8%). Casuística dominante: Embarazo/parto."
123100,Hospital Base San José de Osorno,Hospitales generales SNSS,OSORNO,Alta Complejidad,16442,6.2,0.958,1.568,1.489,9.02,Media (9.0%),0.84,2.86,"Embarazo/parto (14.8%), Digestivo (14.5%), Trauma (12.7%)","diagnóstico (72.7%), obstétrico-quirúrgico (6.1%), digestivo-quirúrgico (4.9%)","GRD 61131 (2.7%), GRD 146121 (2.7%), GRD 146101 (2.5%)","Hospital de alto volumen (16,442 egresos/año) y complejidad media. CMA: media (9.0%). Casuística dominante: Embarazo/parto."
101100,Hospital Dr. Juan Noé Crevanni (Arica),Hospitales generales SNSS,ARICA,Alta Complejidad,15685,5.95,0.916,1.549,1.453,13.38,Media (13.4%),0.826,2.54,"Embarazo/parto (18.8%), Trauma (16.7%), Digestivo (13.2%)","diagnóstico (73.8%), obstétrico-quirúrgico (7.5%), digestivo-quirúrgico (4.7%)","GRD 146131 (4.0%), GRD 146121 (3.1%), GRD 81801 (3.1%)","Hospital de alto volumen (15,685 egresos/año) y complejidad estándar. CMA: media (13.4%). Casuística dominante: Embarazo/parto."
112101,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Hospitales generales SNSS,METROPOLITANO ORIENTE,Alta Complejidad,15070,5.56,0.861,1.78,1.52,8.84,Media (8.8%),0.768,3.34,"Embarazo/parto (33.6%), Digestivo (13.9%), Genitourinario (8.9%)","diagnóstico (68.8%), obstétrico-quirúrgico (10.5%), ginecológico (8.2%)","GRD 146101 (4.9%), GRD 146121 (3.9%), GRD 146131 (3.9%)","Hospital de alto volumen (15,070 egresos/año) y complejidad estándar. CMA: media (8.8%). Casuística dominante: Embarazo/parto."
114103,Hospital Padre Alberto Hurtado (San Ramón),Hospitales generales SNSS,METROPOLITANO SURORIENTE,Alta Complejidad,14871,6.9,0.984,1.808,1.545,18.97,Media (19.0%),0.817,2.94,"Embarazo/parto (25.3%), Digestivo (13.0%), Respiratorio (9.1%)","diagnóstico (73.3%), obstétrico-quirúrgico (8.5%), digestivo-quirúrgico (5.1%)","GRD 134161 (3.3%), GRD 146121 (2.9%), GRD 146131 (2.8%)","Hospital de alto volumen (14,871 egresos/año) y complejidad media. CMA: media (19.0%). Casuística dominante: Embarazo/parto."
114105,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,Hospitales generales SNSS,METROPOLITANO SURORIENTE,Alta Complejidad,14764,8.45,1.068,1.794,1.627,22.32,Media (22.3%),0.815,2.98,"Embarazo/parto (20.8%), Digestivo (13.1%), Cardiovascular (9.4%)","diagnóstico (72.3%), obstétrico-quirúrgico (9.0%), digestivo-quirúrgico (5.2%)","GRD 146121 (4.6%), GRD 146101 (3.1%), GRD 44153 (2.9%)","Hospital de alto volumen (14,764 egresos/año) y complejidad media. CMA: media (22.3%). Casuística dominante: Embarazo/parto."
105101,Hospital San Pablo (Coquimbo),Hospitales generales SNSS,COQUIMBO,Alta Complejidad,13762,7.3,1.064,1.697,1.413,18.23,Media (18.2%),0.814,2.96,"Embarazo/parto (19.4%), Trauma (18.3%), Digestivo (11.2%)","diagnóstico (73.3%), obstétrico-quirúrgico (6.7%), ortopédico (4.9%)","GRD 146101 (6.1%), GRD 146131 (4.1%), GRD 81801 (2.4%)","Hospital de alto volumen (13,762 egresos/año) y complejidad media. CMA: media (18.2%). Casuística dominante: Embarazo/parto."
116100,Hospital San Juan de Dios (Curicó),Hospitales generales SNSS,DEL MAULE,Alta Complejidad,13136,6.99,0.959,1.643,1.53,23.03,Media (23.0%),0.795,2.59,"Embarazo/parto (23.9%), Digestivo (17.4%), Trauma (9.8%)","diagnóstico (68.4%), obstétrico-quirúrgico (9.0%), digestivo-quirúrgico (6.8%)","GRD 146101 (7.5%), GRD 61131 (3.7%), GRD 146121 (3.6%)","Hospital de alto volumen (13,136 egresos/año) y complejidad media. CMA: media (23.0%). Casuística dominante: Embarazo/parto."
113180,"Hospital El Pino (Santiago, San Bernardo)",Hospitales generales SNSS,METROPOLITANO SUR,Alta Complejidad,13111,6.97,0.911,1.754,1.559,13.14,Media (13.1%),0.794,3.02,"Embarazo/parto (25.8%), Digestivo (13.2%), Respiratorio (9.2%)","diagnóstico (75.9%), obstétrico-quirúrgico (8.4%), digestivo-quirúrgico (4.3%)","GRD 146101 (5.9%), GRD 146121 (3.7%), GRD 146131 (3.4%)","Hospital de alto volumen (13,111 egresos/año) y complejidad estándar. CMA: media (13.1%). Casuística dominante: Embarazo/parto."
105100,Hospital San Juan de Dios (La Serena),Hospitales generales SNSS,COQUIMBO,Alta Complejidad,12827,7.25,1.05,1.705,1.516,24.32,Media (24.3%),0.818,2.75,"Embarazo/parto (19.7%), Digestivo (17.3%), Cardiovascular (11.7%)","diagnóstico (70.0%), obstétrico-quirúrgico (6.3%), digestivo-quirúrgico (5.9%)","GRD 146101 (4.8%), GRD 61131 (3.9%), GRD 146121 (3.2%)","Hospital de alto volumen (12,827 egresos/año) y complejidad media. CMA: media (24.3%). Casuística dominante: Embarazo/parto."
104100,Hospital San José del Carmen (Copiapó),Hospitales generales SNSS,ATACAMA,Alta Complejidad,11526,7.61,0.913,1.667,1.431,9.89,Media (9.9%),0.848,2.68,"Embarazo/parto (16.9%), Digestivo (16.0%), Trauma (15.1%)","diagnóstico (73.0%), obstétrico-quirúrgico (6.8%), digestivo-quirúrgico (4.9%)","GRD 146131 (3.2%), GRD 146101 (3.1%), GRD 146121 (2.8%)","Hospital de alto volumen (11,526 egresos/año) y complejidad estándar. CMA: media (9.9%). Casuística dominante: Embarazo/parto."
