replica,n_clusters_efectivo,n_variables_significativas,error_relativo_covarianza_frobenius
463,4,20,0.30241123572681894
464,4,22,0.30346620389157386
465,4,22,0.24195904705982238
466,4,17,0.23699582987044732
467,4,23,0.3186733569165048
468,4,20,0.2507472546642906
469,4,27,0.3639140968457631
470,4,21,0.30705256932720026
471,4,20,0.28471334713625795
472,4,21,0.3669513424149335
473,4,25,0.27503746688309794
474,4,19,0.31771970010575923
475,4,22,0.2928683017392854
476,4,21,0.3575322049948192
477,4,23,0.44637984269913783
478,4,24,0.2894197888023601
479,4,17,0.24935647805992045
480,4,20,0.31587073424735634
481,4,20,0.27724329470346415
482,4,19,0.2884861715632533
483,4,17,0.3161127108925147
484,4,21,0.26394561419280965
485,4,20,0.26979849729037514
486,4,25,0.2275541533550024
487,4,25,0.39295658088402835
488,4,21,0.46580362748278986
489,4,25,0.29294580356519523
490,4,16,0.3143997300794689
491,4,24,0.2820840623129885
492,4,19,0.3052046332772442
493,4,22,0.2533540315267107
494,4,23,0.32132688561723916
495,4,27,0.3656110634060926
496,4,25,0.27337992158104363
497,4,19,0.2682307075762873
498,4,21,0.30281870087775486
499,4,19,0.3543206732508192
