replica,variable,p_valor_ajustado_BH
2,edad_mediana,7.376548045055053e-08
2,pct_urgencia,0.008684441129530127
2,pct_programada,1.0730837332707554e-05
2,pct_obstetrica_ingreso,0.0002124939956901335
2,pct_alta_domicilio,0.0004099043377365805
2,pct_alta_fallecido,2.0458873102669444e-05
2,pct_alta_traslado,0.6007105636190073
2,pct_origen_emergencia,0.005285917548971462
2,pct_origen_referencia,0.03879725538958533
2,pct_uso_pabellon,0.011386151362973815
2,pabellones_promedio,0.0010145821187502139
2,tasa_partos,0.0005675628818541183
2,tasa_prematurez,0.3155816690284766
2,cv_estancia,0.00029793335843166966
2,pct_estancia_larga,3.9380079274743825e-05
3,egresos_por_anio,0.17739232548665995
3,estancia_media,8.151864310189342e-05
3,estancia_mediana,1.1718425361576676e-05
3,peso_medio_grd,5.0456785262175e-06
3,severidad_media,8.589999955866126e-07
3,mortalidad_media,1.6816959966227638e-07
3,entropia_grd,0.6018479170809519
3,comorbilidades_promedio,0.0012312467339855896
3,tasa_cma,0.4398515868082267
3,peso_medio_cma,4.5063277422541704e-05
3,pct_pediatrico,1.955063222324335e-07
3,pct_geriatrico,7.27033332898268e-08
3,pct_femenino_fertil,5.4213890640440476e-08
3,edad_mediana,5.4213890640440476e-08
3,pct_urgencia,0.4118695342430697
3,pct_programada,0.0019353101846133188
3,pct_obstetrica_ingreso,7.27033332898268e-08
3,pct_alta_domicilio,0.008822091188632088
3,pct_alta_fallecido,3.83837605445576e-05
3,pct_alta_traslado,0.09365705754434193
3,pct_origen_emergencia,0.006228343871420205
3,pct_origen_referencia,0.002539093266086679
3,pct_uso_pabellon,0.3939207251511754
3,pabellones_promedio,0.3818706389016525
3,tasa_partos,1.1860405188579196e-06
3,tasa_prematurez,0.0671821376224641
3,cv_estancia,0.008822091188632088
3,pct_estancia_larga,0.0003512321896036712
4,egresos_por_anio,0.3473205188903576
4,estancia_media,0.030018054020323356
4,estancia_mediana,4.5575084958470336e-05
4,peso_medio_grd,0.0008222756199579314
4,severidad_media,0.1438598201066175
4,mortalidad_media,0.24766815187115646
4,entropia_grd,0.047593441870440525
4,comorbilidades_promedio,0.0004005144503686572
4,tasa_cma,0.015187169239536846
4,peso_medio_cma,0.0013413100077105864
4,pct_pediatrico,1.3187204370063633e-07
4,pct_geriatrico,3.129961482086467e-09
4,pct_femenino_fertil,0.8530971052420833
4,edad_mediana,2.8889557333147457e-09
4,pct_urgencia,0.0003653409145679019
4,pct_programada,7.997924808239507e-05
4,pct_obstetrica_ingreso,0.6480560674507879
4,pct_alta_domicilio,1.6530483661946924e-06
4,pct_alta_fallecido,0.00014606480084666646
4,pct_alta_traslado,0.0004005144503686572
4,pct_origen_emergencia,0.033673816325931895
4,pct_origen_referencia,0.030018054020323356
4,pct_uso_pabellon,0.0006001027501955866
4,pabellones_promedio,0.0020445636426200072
4,tasa_partos,0.500190500974101
4,tasa_prematurez,0.033673816325931895
4,cv_estancia,0.43781264698119216
4,pct_estancia_larga,0.08895205817455455
5,egresos_por_anio,0.059991178822596546
5,estancia_media,0.0002138490930011627
5,estancia_mediana,6.628118994074183e-05
5,peso_medio_grd,0.00023239670405234545
5,severidad_media,4.750113558896088e-05
5,mortalidad_media,1.5966529297568695e-05
5,entropia_grd,0.0015687318884186345
5,comorbilidades_promedio,0.0001846987990119642
5,tasa_cma,0.11869056291668215
5,peso_medio_cma,0.07683514211545976
5,pct_pediatrico,3.438633628679678e-08
5,pct_geriatrico,1.5831239607833228e-06
5,pct_femenino_fertil,1.891599767471752e-08
5,edad_mediana,2.125520012125047e-07
5,pct_urgencia,0.0009076515332978261
5,pct_programada,0.046795234885320273
5,pct_obstetrica_ingreso,3.438633628679678e-08
5,pct_alta_domicilio,0.009038961151892419
5,pct_alta_fallecido,0.0012478905871803696
5,pct_alta_traslado,0.005177676569464146
5,pct_origen_emergencia,0.0028552051270033327
5,pct_origen_referencia,0.0006801101858065528
5,pct_uso_pabellon,0.34670598179796225
5,pabellones_promedio,0.34670598179796225
5,tasa_partos,5.081751847909572e-07
5,tasa_prematurez,0.02505619512962339
5,cv_estancia,0.0006801101858065528
5,pct_estancia_larga,0.0030116040189772353
6,egresos_por_anio,0.25543139726777586
6,estancia_media,0.0004586842467262741
6,estancia_mediana,0.00012333694053034036
6,peso_medio_grd,0.09490505994271244
6,severidad_media,0.009941373616011637
6,mortalidad_media,0.00032333614129944217
6,entropia_grd,0.023032184767019175
6,comorbilidades_promedio,0.000377919708431074
6,tasa_cma,0.24410043727939032
6,peso_medio_cma,0.000628778541181726
6,pct_pediatrico,7.053860075961727e-09
6,pct_geriatrico,4.969225455999143e-09
6,pct_femenino_fertil,0.00024951362528069726
6,edad_mediana,7.053860075961727e-09
6,pct_urgencia,0.03738101276896151
6,pct_programada,0.14202514482540826
6,pct_obstetrica_ingreso,0.0022101208502380894
6,pct_alta_domicilio,0.000377919708431074
6,pct_alta_fallecido,5.705053443151642e-07
6,pct_alta_traslado,0.5092587150032724
6,pct_origen_emergencia,0.28512490558809506
6,pct_origen_referencia,0.2634062498828776
6,pct_uso_pabellon,6.734328926193952e-05
6,pabellones_promedio,0.004944359270651114
6,tasa_partos,0.0013959267921450755
6,tasa_prematurez,0.08672059934398631
6,cv_estancia,0.03738101276896151
6,pct_estancia_larga,0.0022505762061576103
7,egresos_por_anio,0.7239194942333029
7,estancia_media,0.0023370479173818654
7,estancia_mediana,0.0009142294475743019
7,peso_medio_grd,0.00682637637818019
7,severidad_media,0.001753325846240446
7,mortalidad_media,0.0047140527502495385
7,entropia_grd,0.018491501534218902
7,comorbilidades_promedio,0.004419126755839516
7,tasa_cma,0.0050284460288468865
7,peso_medio_cma,0.009943569029840121
7,pct_pediatrico,2.0411180109126343e-09
7,pct_geriatrico,9.475195552962001e-07
7,pct_femenino_fertil,1.7420166182542183e-05
7,edad_mediana,1.47335045022835e-07
7,pct_urgencia,0.0006945664479017927
7,pct_programada,0.0005365650791735258
7,pct_obstetrica_ingreso,0.0002456113073334546
7,pct_alta_domicilio,1.7420166182542183e-05
7,pct_alta_fallecido,0.00025610388645977417
7,pct_alta_traslado,0.014604529320904672
7,pct_origen_emergencia,0.0009910985224430573
7,pct_origen_referencia,0.0047140527502495385
7,pct_uso_pabellon,0.00025610388645977417
7,pabellones_promedio,0.08571086855580774
7,tasa_partos,0.0005210132435604958
7,tasa_prematurez,0.010235122839360426
7,cv_estancia,0.7239194942333029
7,pct_estancia_larga,0.004419126755839516
