K_sub,replica,n_sub,silhouette,ari_vs_referencia,nmi_vs_referencia
2,83,43,0.15038451389217514,0.651837352077587,0.6114872262079741
2,84,43,0.15669480796274396,0.6386220908755079,0.5798677702076929
2,85,43,0.10508893750275326,0.16976599341578433,0.11302448871441917
2,86,43,0.11146597183135296,0.17788546255506607,0.16394556525989867
2,87,43,0.198217774311238,0.5260942342431927,0.4684859435626326
2,88,43,0.1806461927827575,0.8151022548505507,0.7498236990175187
2,89,43,0.21183823645237493,0.797705106138841,0.7119101240159201
2,90,43,0.15615302806254405,0.7326464449082916,0.6807514162920627
2,91,43,0.14251774340075427,0.569622475856014,0.4546170519667753
2,92,43,0.10016880356226535,0.2686751778062464,0.22396560879973312
2,93,43,0.178840564661615,0.6983514556296037,0.612612606870009
2,94,43,0.1302204617983058,0.29489849036959914,0.1755171078566465
2,95,43,0.10217977303660725,0.22246194942245315,0.2279024775957636
2,96,43,0.11200132070575625,0.2635020909333571,0.18853887654640403
2,97,43,0.17096840984745124,0.614444772884028,0.4390939458294854
2,98,43,0.16449813886923786,0.33539412673879443,0.21359959658443245
2,99,43,0.17237204557672908,0.17347687027069195,0.0837205115138643
2,100,43,0.24911981952230058,0.5751972208149381,0.4943688905062317
3,1,43,0.10458785306109784,0.34503517806629436,0.4597963717786266
3,2,43,0.15494492982103986,0.6236432116474767,0.5812516746115063
3,3,43,0.11336312571880063,0.7375254335820173,0.7112841190184106
3,4,43,0.15878185497127206,0.43566148740383165,0.46263709279160714
3,5,43,0.08886421938089425,0.32157709279070507,0.4562632897419971
3,6,43,0.18604769991347408,0.6479204113811529,0.6543469021109841
3,7,43,0.15046556472123881,0.2415117425143595,0.34534483753610623
3,8,43,0.11960620764841493,0.5350527440625735,0.5386309025297711
3,9,43,0.12490668345145362,0.592810976301168,0.6709825000595784
3,10,43,0.11339727194864868,0.3384615384615385,0.42711370718641906
3,11,43,0.17734853590926328,0.4020204581959591,0.545818976455643
3,12,43,0.17634580248218673,0.43797409265958687,0.5459554487766521
3,13,43,0.13144503216614709,0.76488147682532,0.7132305061773192
3,14,43,0.14363356220433307,0.7467093302305287,0.6846500668788369
3,15,43,0.1442525752984621,0.27201428512984405,0.3651076524671988
3,16,43,0.15603243323413496,0.43881194296117393,0.5379582558020842
3,17,43,0.11180149201775612,0.21901819430140748,0.38019905821317596
3,18,43,0.15048535156061152,0.41849963922444894,0.46488914895565137
3,19,43,0.11057823121868891,0.34346103038309117,0.4289854036607775
3,20,43,0.13391445211335132,0.5667075989598382,0.5444723105070085
3,21,43,0.1304071940099721,0.2692956558414171,0.38505442570465964
3,22,43,0.14365711697250189,0.784651008931525,0.7375571627472021
3,23,43,0.1199291681267979,0.2653878820748442,0.39676028450851064
3,24,43,0.18911064413954057,0.4718067728420542,0.5030779999766376
3,25,43,0.10342448429459472,0.4963502463854443,0.5537299256424758
3,26,43,0.1133229533787948,0.26291865841541556,0.3836007131154703
3,27,43,0.17288059450406815,0.3613830451989169,0.4895430350358752
3,28,43,0.16193568254116555,0.6080488887472013,0.6454915244682511
3,29,43,0.12408855403199692,0.23753763800602207,0.3830871029795589
3,30,43,0.08330355836134543,0.4970132339665405,0.5703774633367302
3,31,43,0.13980151970695998,0.27153378162023695,0.42027591470447134
3,32,43,0.10485405212981434,0.22345542984601327,0.3686606459298649
3,33,43,0.10400827800601557,0.2364917776037588,0.41051545890798546
3,34,43,0.17036231524796366,0.6529020921421119,0.5787286823520486
3,35,43,0.11088459601802524,0.6703229443504872,0.7136958382757839
3,36,43,0.2135742072700656,0.5111934326840704,0.5788196792672645
3,37,43,0.14889839110108533,0.892374873523169,0.8393091276070032
3,38,43,0.10221158225139244,0.3653048814196473,0.46383640207197296
3,39,43,0.121394603761804,0.6828489652135623,0.7123943100308044
3,40,43,0.1905526773389406,0.5581363644109678,0.6902227766917145
3,41,43,0.11953724025704818,0.7748609242628077,0.8117175395594888
3,42,43,0.10092208426379881,0.7371561635860865,0.6831548818225874
3,43,43,0.12336377396210717,0.2255476650078807,0.4069740838624276
3,44,43,0.18147095116933012,0.48125197180379437,0.5769567026517507
3,45,43,0.10127963747860708,0.436455003771619,0.5220411946687008
3,46,43,0.20248002994895636,0.2845528455284553,0.3745759665052776
